id,category,query,domain,complexity,expected_keywords,expected_citations
T1.001,T1,Quais são os direitos do consumidor em caso de produto com defeito?,consumidor,BAIXA,"[""CDC"", ""defeito"", ""consumidor"", ""troca"", ""reparo"", ""restituição""]","[""Lei 8.078/1990"", ""Art. 18"", ""Art. 26""]"
T1.002,T1,O que diz o CDC sobre práticas abusivas no comércio eletrônico?,consumidor,MEDIA,"[""CDC"", ""prática abusiva"", ""comércio eletrônico"", ""propaganda enganosa""]","[""Lei 8.078/1990"", ""Art. 39""]"
T1.003,T1,O fornecedor é responsável por vícios ocultos?,consumidor,BAIXA,"[""vício oculto"", ""fornecedor"", ""responsabilidade"", ""prazo""]","[""Art. 26"", ""Art. 18""]"
T1.004,T1,Quais são os prazos de garantia legal no CDC?,consumidor,BAIXA,"[""garantia"", ""30 dias"", ""90 dias"", ""durável"", ""não durável""]","[""Art. 26""]"
T1.005,T1,Compare a responsabilidade objetiva e subjetiva no CDC,consumidor,ALTA,"[""responsabilidade"", ""objetiva"", ""subjetiva"", ""culpa"", ""fato do produto""]","[""Art. 12"", ""Art. 14""]"
T1.006,T1,Qual a inversão do ônus da prova no direito do consumidor?,consumidor,MEDIA,"[""inversão"", ""ônus"", ""prova"", ""hipossuficiência"", ""verossimilhança""]","[""Art. 6"", ""VIII""]"
T1.007,T1,Como funciona o direito de arrependimento nas compras online?,consumidor,MEDIA,"[""arrependimento"", ""7 dias"", ""online"", ""devolução""]","[""Art. 49""]"
T1.008,T1,Quais são as sanções administrativas previstas no CDC?,consumidor,MEDIA,"[""sanção"", ""multa"", ""apreensão"", ""interdição""]","[""Art. 56""]"
T1.009,T1,Quais são as excludentes de ilicitude no direito penal brasileiro?,penal,MEDIA,"[""legítima defesa"", ""estado de necessidade"", ""estrito cumprimento"", ""exercício regular""]","[""Art. 23"", ""Código Penal""]"
T1.010,T1,O que é legítima defesa e quais seus requisitos?,penal,BAIXA,"[""legítima defesa"", ""agressão"", ""injusta"", ""atual"", ""iminente"", ""moderação""]","[""Art. 25""]"
T1.011,T1,Qual a diferença entre dolo eventual e culpa consciente?,penal,ALTA,"[""dolo eventual"", ""culpa consciente"", ""risco"", ""resultado"", ""previsão""]","[""Art. 18""]"
T1.012,T1,O que diz o Código Penal sobre crimes contra a honra?,penal,MEDIA,"[""calúnia"", ""difamação"", ""injúria"", ""honra""]","[""Art. 138"", ""Art. 139"", ""Art. 140""]"
T1.013,T1,Como funciona o regime de progressão de pena no Brasil?,penal,MEDIA,"[""progressão"", ""regime"", ""fechado"", ""semiaberto"", ""aberto""]","[""Art. 33"", ""Lei 7.210""]"
T1.014,T1,Quais são as hipóteses de prisão preventiva?,penal,MEDIA,"[""prisão preventiva"", ""garantia"", ""ordem pública"", ""instrução criminal""]","[""Art. 312"", ""CPP""]"
T1.015,T1,O que é tentativa no direito penal e como é punida?,penal,BAIXA,"[""tentativa"", ""início execução"", ""circunstâncias alheias"", ""redução pena""]","[""Art. 14"", ""II""]"
T1.016,T1,Explique o princípio da insignificância no direito penal,penal,ALTA,"[""insignificância"", ""bagatela"", ""tipicidade material"", ""ofensividade""]","[""STF"", ""princípio""]"
T1.017,T1,Quais são os direitos fundamentais previstos no Art. 5º da CF?,constitucional,BAIXA,"[""Art. 5"", ""vida"", ""liberdade"", ""igualdade"", ""segurança"", ""propriedade""]","[""CF/88"", ""Art. 5""]"
T1.018,T1,Qual a diferença entre cláusula pétrea e emenda constitucional?,constitucional,ALTA,"[""cláusula pétrea"", ""emenda"", ""Art. 60"", ""forma federativa"", ""voto direto""]","[""Art. 60"", ""§4º""]"
T1.019,T1,O que é o princípio da separação de poderes?,constitucional,BAIXA,"[""separação"", ""poderes"", ""Executivo"", ""Legislativo"", ""Judiciário"", ""independência""]","[""Art. 2""]"
T1.020,T1,Como funciona o controle de constitucionalidade no Brasil?,constitucional,ALTA,"[""controle"", ""constitucionalidade"", ""difuso"", ""concentrado"", ""ADI"", ""STF""]","[""Art. 102"", ""Art. 103""]"
T1.021,T1,Quais são os remédios constitucionais previstos na CF/88?,constitucional,MEDIA,"[""habeas corpus"", ""mandado de segurança"", ""habeas data"", ""ação popular""]","[""Art. 5"", ""LXVIII"", ""LXIX""]"
T1.022,T1,O que diz a Constituição sobre o direito à saúde?,constitucional,BAIXA,"[""saúde"", ""direito"", ""SUS"", ""universal""]","[""Art. 196"", ""Art. 198""]"
T1.023,T1,"Qual a competência legislativa da União, estados e municípios?",constitucional,ALTA,"[""competência"", ""privativa"", ""concorrente"", ""suplementar""]","[""Art. 22"", ""Art. 24"", ""Art. 30""]"
T1.024,T1,O que são direitos sociais na Constituição Federal?,constitucional,BAIXA,"[""direitos sociais"", ""educação"", ""saúde"", ""trabalho"", ""moradia""]","[""Art. 6""]"
T1.025,T1,Quais são os direitos do trabalhador na rescisão sem justa causa?,trabalhista,MEDIA,"[""rescisão"", ""sem justa causa"", ""aviso prévio"", ""FGTS"", ""multa 40%""]","[""CLT"", ""Art. 477""]"
T1.026,T1,O que diz a CLT sobre horas extras?,trabalhista,BAIXA,"[""horas extras"", ""50%"", ""adicional"", ""jornada""]","[""Art. 59"", ""CLT""]"
T1.027,T1,Quais são as hipóteses de justa causa para demissão?,trabalhista,MEDIA,"[""justa causa"", ""improbidade"", ""desídia"", ""embriaguez"", ""insubordinação""]","[""Art. 482""]"
T1.028,T1,Como funciona o FGTS e em que situações pode ser sacado?,trabalhista,MEDIA,"[""FGTS"", ""saque"", ""demissão"", ""aposentadoria"", ""doença grave""]","[""Lei 8.036""]"
T1.029,T1,Qual a diferença entre contrato de trabalho CLT e PJ?,trabalhista,ALTA,"[""CLT"", ""PJ"", ""vínculo"", ""subordinação"", ""habitualidade""]","[""Art. 3"", ""CLT""]"
T1.030,T1,O que são férias proporcionais e como são calculadas?,trabalhista,BAIXA,"[""férias"", ""proporcional"", ""1/12"", ""terço constitucional""]","[""Art. 130"", ""Art. 7""]"
T1.031,T1,O que é responsabilidade civil objetiva e subjetiva?,civil,MEDIA,"[""responsabilidade"", ""objetiva"", ""subjetiva"", ""culpa"", ""dano"", ""nexo causal""]","[""Art. 186"", ""Art. 927""]"
T1.032,T1,Quais são os requisitos para a validade de um contrato?,civil,BAIXA,"[""capacidade"", ""objeto lícito"", ""forma prescrita"", ""consentimento""]","[""Art. 104"", ""Código Civil""]"
T1.033,T1,O que é usucapião e quais suas modalidades?,civil,ALTA,"[""usucapião"", ""extraordinário"", ""ordinário"", ""especial"", ""posse"", ""prazo""]","[""Art. 1238"", ""Art. 1242""]"
T1.034,T1,Quais são os direitos reais previstos no Código Civil?,civil,MEDIA,"[""direitos reais"", ""propriedade"", ""superfície"", ""servidão"", ""usufruto""]","[""Art. 1225""]"
T1.035,T1,Como funciona a prescrição e a decadência no direito civil?,civil,ALTA,"[""prescrição"", ""decadência"", ""prazo"", ""pretensão"", ""direito potestativo""]","[""Art. 189"", ""Art. 205"", ""Art. 206""]"
T1.036,T1,O que diz o Código Civil sobre danos morais?,civil,MEDIA,"[""dano moral"", ""indenização"", ""personalidade"", ""honra""]","[""Art. 186"", ""Art. 927""]"
T1.037,T1,Quais são os princípios da administração pública?,administrativo,BAIXA,"[""legalidade"", ""impessoalidade"", ""moralidade"", ""publicidade"", ""eficiência""]","[""Art. 37"", ""CF/88""]"
T1.038,T1,O que é licitação e quais suas modalidades?,administrativo,MEDIA,"[""licitação"", ""concorrência"", ""pregão"", ""tomada de preços""]","[""Lei 14.133"", ""Lei 8.666""]"
T1.039,T1,Qual a diferença entre ato administrativo vinculado e discricionário?,administrativo,ALTA,"[""vinculado"", ""discricionário"", ""mérito"", ""conveniência"", ""oportunidade""]","[""administração pública""]"
T1.040,T1,O que é improbidade administrativa e quais suas penalidades?,administrativo,MEDIA,"[""improbidade"", ""enriquecimento ilícito"", ""prejuízo erário"", ""suspensão direitos""]","[""Lei 8.429""]"
T1.041,T1,Como funciona o processo administrativo disciplinar?,administrativo,MEDIA,"[""PAD"", ""sindicância"", ""contraditório"", ""ampla defesa""]","[""Lei 8.112""]"
T1.042,T1,Quais são os requisitos da petição inicial no CPC?,processual,BAIXA,"[""petição inicial"", ""juízo"", ""partes"", ""causa de pedir"", ""pedido""]","[""Art. 319"", ""CPC""]"
T1.043,T1,O que é tutela de urgência e tutela de evidência?,processual,MEDIA,"[""tutela"", ""urgência"", ""evidência"", ""probabilidade"", ""perigo""]","[""Art. 300"", ""Art. 311""]"
T1.044,T1,Como funciona o sistema recursal no CPC?,processual,ALTA,"[""recurso"", ""apelação"", ""agravo"", ""embargos"", ""recurso especial""]","[""Art. 994"", ""Art. 1009""]"
T1.045,T1,O que é coisa julgada e quais seus efeitos?,processual,MEDIA,"[""coisa julgada"", ""imutabilidade"", ""formal"", ""material""]","[""Art. 502"", ""Art. 503""]"
T1.046,T1,O que diz a Constituição sobre proteção ao meio ambiente?,ambiental,BAIXA,"[""meio ambiente"", ""ecologicamente equilibrado"", ""gerações futuras""]","[""Art. 225""]"
T1.047,T1,Quais são os crimes ambientais previstos na legislação brasileira?,ambiental,MEDIA,"[""crime ambiental"", ""fauna"", ""flora"", ""poluição"", ""desmatamento""]","[""Lei 9.605""]"
T1.048,T1,Como funciona a responsabilidade civil ambiental?,ambiental,ALTA,"[""responsabilidade"", ""objetiva"", ""dano ambiental"", ""reparação""]","[""Lei 6.938"", ""Art. 14""]"
T1.049,T1,Quais são os princípios do direito tributário?,tributario,BAIXA,"[""legalidade"", ""anterioridade"", ""irretroatividade"", ""capacidade contributiva""]","[""Art. 150""]"
T1.050,T1,"Qual a diferença entre impostos, taxas e contribuições?",tributario,MEDIA,"[""imposto"", ""taxa"", ""contribuição"", ""fato gerador"", ""contraprestação""]","[""Art. 145"", ""CTN""]"
T1.051,T1,O que é imunidade tributária e quais são suas hipóteses?,tributario,ALTA,"[""imunidade"", ""templos"", ""partidos"", ""livros"", ""impostos""]","[""Art. 150"", ""VI""]"
T1.052,T1,O que diz o Marco Civil da Internet sobre neutralidade de rede?,digital,MEDIA,"[""neutralidade"", ""rede"", ""tratamento isonômico"", ""pacotes""]","[""Lei 12.965"", ""Art. 9""]"
T1.053,T1,Quais são as medidas protetivas do Estatuto da Criança e do Adolescente?,eca,MEDIA,"[""medidas protetivas"", ""criança"", ""adolescente"", ""acolhimento""]","[""Lei 8.069"", ""Art. 101""]"
T1.054,T1,Como funciona a recuperação judicial de empresas?,empresarial,ALTA,"[""recuperação judicial"", ""plano"", ""credores"", ""assembleia""]","[""Lei 11.101""]"
T1.055,T1,Qual a responsabilidade dos sócios numa sociedade limitada?,empresarial,MEDIA,"[""responsabilidade"", ""limitada"", ""capital social"", ""quotas""]","[""Art. 1052"", ""Código Civil""]"
